ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
2,Biomass_thermal,71,-20.48184967,-47.86622455,2018,52793056.75
6,Biomass_thermal,30,-15.03297384,-57.21052538,2018,22306925.39
10,Biomass_thermal,8.4,-20.74957275,-47.5686176,2018,6245939.109
14,Biomass_thermal,63,-21.21160967,-48.82963455,2018,46844543.32
18,Biomass_thermal,40,-22.65729996,-47.21090003,2018,29742567.18
22,Biomass_thermal,9,-21.11118967,-47.81657455,2018,6692077.616
26,Biomass_thermal,11.5,-22.79900328,-47.12506283,2018,8550988.066
30,Biomass_thermal,14,-22.58236967,-47.52161455,2018,10409898.51
34,Biomass_thermal,5.8,-22.41211192,-46.80530719,2018,4312672.242
38,Biomass_thermal,14.7,-19.9881,-47.79816,2018,10930393.44
42,Biomass_thermal,51,-22.57108967,-50.64415455,2018,37921773.16
46,Biomass_thermal,16.4,-20.77865967,-48.19187455,2018,12194452.55
50,Biomass_thermal,54,-21.18146967,-48.64470455,2018,40152465.7
54,Biomass_thermal,84,-21.76277778,-48.08388889,2018,62459391.09
58,Biomass_thermal,35,-21.17198178,-47.61886799,2018,26024746.29
62,Biomass_thermal,50,-22.99734967,-47.52019455,2018,37178208.98
66,Biomass_thermal,8,-21.32896867,-50.95548817,2018,5948513.437
70,Biomass_thermal,8,-8.55789966,-35.53499455,2018,4644150.917
74,Biomass_thermal,97,-20.61331879,-48.00080787,2018,72125725.42
78,Biomass_thermal,43,-20.93854716,-48.25026517,2018,31973259.72
82,Biomass_thermal,40.75,-22.4264,-47.3575,2018,30300240.32
86,Biomass_thermal,80.3,-22.48351967,-48.77101455,2018,59708203.62
90,Biomass_thermal,4.8,-22.81638889,-47.56805556,2018,3569108.062
94,Biomass_thermal,70,-21.88559823,-47.30533168,2018,52049492.57
98,Biomass_thermal,73,-21.35804889,-48.06558306,2018,54280185.11
102,Biomass_thermal,62.9,-22.62529358,-48.75681592,2018,46770186.9
106,Biomass_thermal,39.6,-22.17216,-47.33762,2018,29445141.51
110,Biomass_thermal,1.38,-23.23834547,-47.61332578,2018,1026118.568
114,Biomass_thermal,3.8,-23.1615,-47.7832,2018,2825543.883
118,Biomass_thermal,25.2,-21.1234645,-48.00937689,2018,18737817.33
122,Biomass_thermal,12,-21.56486967,-50.95939455,2018,8922770.155
126,Biomass_thermal,11,-21.00071945,-48.02481713,2018,8179205.976
130,Biomass_thermal,3.6,-22.76160992,-47.47835995,2018,2676831.047
134,Biomass_thermal,42,-21.33718967,-48.29298455,2018,31229695.54
138,Biomass_thermal,28,-21.04088967,-48.71079455,2018,20819797.03
142,Biomass_thermal,4,-21.8318,-47.7505,2018,2974256.718
146,Biomass_thermal,35,-17.61731817,-54.76151625,2018,26024746.29
