ID,Fuel_type,Granted_power_MW,latitude,longitude,year,Fuel_consumed_plant_GJ
2203,Coal_thermal_power_plant,20,-23.85222205,-50.3902778,2019,11232591.89
2259,Coal_thermal_power_plant,232,-28.45423334,-48.96906967,2019,130298065.9
2591,Coal_thermal_power_plant,262,-28.45423333,-48.96906967,2019,147146953.7
2595,Coal_thermal_power_plant,363,-28.45423334,-48.96906967,2019,203871542.7
3101,Coal_thermal_power_plant,5,-27.23360025,-52.0317881,2019,2808147.972
3149,Coal_thermal_power_plant,103.854,-1.54139616,-48.7325286,2019,39065267.01
4205,Coal_thermal_power_plant,75.2,-2.70675716,-44.35099291,2019,28286903.53
4373,Coal_thermal_power_plant,360.137,-2.52462078,-44.29609011,2019,135467560.9
4393,Coal_thermal_power_plant,720.274,-3.55240833,-38.80846389,2019,542924690.2
4461,Coal_thermal_power_plant,350,-31.54575074,-53.65658261,2019,196570358
5137,Coal_thermal_power_plant,365,-3.591843,-38.86609011,2019,275127954
7021,Coal_thermal_power_plant,345,-31.45092615,-53.77901991,2019,193762210.1
